2,Amerine-0002.dng,Spain,,1
3,Amerine-0003.dng,Spain,,1
4,Amerine-0004.dng,Spain,,1
5,Amerine-0005.dng,Spain,,1
6,Amerine-0006.dng,Spain,,1
7,Amerine-0007.dng,Spain,,1
8,Amerine-0008.dng,Spain,,1
9,Amerine-0009.dng,Spain,,1
10,Amerine-0010.dng,Spain,,1
11,Amerine-0011.dng,Spain,,1
12,Amerine-0012.dng,Spain,,1
13,Amerine-0013.dng,Spain,,1
15,Amerine-0015.dng,Spain,,1
16,Amerine-0016.dng,Spain,,1
17,Amerine-0017.dng,Spain,,1
18,Amerine-0018.dng,Spain,,1
19,Amerine-0019.dng,Spain,,1
20,Amerine-0020.dng,Spain,,1
21,Amerine-0021.dng,Spain,,1
22,Amerine-0022.dng,Spain,,1
23,Amerine-0023.dng,Spain,,1
24,Amerine-0024.dng,Spain,,1
25,Amerine-0025.dng,Spain,,1
26,Amerine-0026.dng,Spain,,1
27,Amerine-0027.dng,Spain,,1
28,Amerine-0028.dng,Spain,,1
29,Amerine-0029.dng,Spain,,1
30,Amerine-0030.dng,Spain,,1
31,Amerine-0031.dng,Spain,,1
32,Amerine-0032.dng,Spain,,1
33,Amerine-0033.dng,Spain,,1
34,Amerine-0034.dng,Spain,,1
35,Amerine-0035.dng,Spain,,1
36,Amerine-0036.dng,Spain,,1
37,Amerine-0037.dng,Spain,,1
38,Amerine-0038.dng,Spain,,1
39,Amerine-0039.dng,Spain,,1
40,Amerine-0040.dng,Spain,,1
41,Amerine-0041.dng,Spain,,1
42,Amerine-0042.dng,Spain,,1
43,Amerine-0043.dng,Spain,,1
44,Amerine-0044.dng,Spain,,1
45,Amerine-0045.dng,Spain,,1
46,Amerine-0046.dng,Spain,,1
47,Amerine-0047.dng,Spain,,1
48,Amerine-0048.dng,Spain,,1
49,Amerine-0049.dng,Spain,,1
50,Amerine-0050.dng,Spain,,1
51,Amerine-0051.dng,Spain,,1
52,Amerine-0052.dng,Spain,,1
53,Amerine-0053.dng,Spain,,1
54,Amerine-0054.dng,Spain,,1
55,Amerine-0055.dng,Spain,,1
56,Amerine-0056.dng,Spain,,1
57,Amerine-0057.dng,Spain,,1
58,Amerine-0058.dng,Spain,,1
59,Amerine-0059.dng,Spain,,1
60,Amerine-0060.dng,Spain,,1
61,Amerine-0061.dng,Spain,,1
62,Amerine-0062.dng,Spain,,1
63,Amerine-0063.dng,Spain,,1
64,Amerine-0064.dng,Spain,,1
66,Amerine-0066.dng,Italy,,1
67,Amerine-0067.dng,Italy,,1
68,Amerine-0068.dng,Italy,,1
69,Amerine-0069.dng,Italy,,1
70,Amerine-0070.dng,Italy,,1
71,Amerine-0071.dng,Italy,,1
72,Amerine-0072.dng,Italy,,1
73,Amerine-0073.dng,Italy,,1
74,Amerine-0074.dng,Italy,,1
75,Amerine-0075.dng,Italy,,1
